Commit,File,Scope
https://github.com/tauri-apps/tauri/commit/a00ac023eef9f7b3a508ca9acd664470382d7d06,wix.rs,0-Fn
https://github.com/xi-editor/xi-editor/commit/53c5b9622492f52386c349fd8f9e83ecbbbd7c95,rust.rs,1-Impl
https://github.com/xi-editor/xi-editor/commit/53c5b9622492f52386c349fd8f9e83ecbbbd7c95,lib.rs,11-Impl
https://github.com/nushell/nushell/commit/72838cc0837826777fa4921b32852fbb09b6a5e4,fs.rs,10-Impl
